name,label
#AcilenAtamaYapOğuzhanUğur,appeal_atama
#AcilenDostLazımYalnızım,misc
#AdYourHere,ad
#AdaletAllahınKanunlarında,misc
#AdaletBak1000Psikolog,appeal_atama
#AdaletYeriniBuldu,politics_akp
#AdamKazandı,politics
#AdamOlunn,misc
#AdamlarYapmış,misc
#AdamsınBinaliYıldırım,politics_akp
#AdamsınMehmetBerkErgin,misc
#AdanaAltınKozaFF,misc
#AdanaBirİsrafSıfır,politics_chp
#AdanaBizGeldiiik,misc
#AdanaBuNeSıcaķtırBaba,misc
#AdanaGibiBaşkanZeydan,politics_chp
#AdanaGibiÇocuk,misc
#AdanaKabusu,misc
#AdanaSesVersin,misc
#AdanaSözlüyeHazır,politics_mhp
#AdanadaYanıyoruuz,misc
#AdanadaZeydan,politics_chp
#AdanalıKızlaEvlenmek,misc
#AdanalıKızlardanKorkulur,misc
#AdanalıKızlarÇokGüzeldir,misc
#AdanalıYarınNetflixte,ad_other
#AdanalıyaSiyasetÇekme,misc
#AdananınKuyusunuKazmışlar,misc
#AdananınTehlikeliMahalleleri,misc
#AdanaÇokGüzelsin,misc
#AdaylarMallarınıAçıklasın,misc
#AdayımızHüsnüSüslü,politics_chp
#AdemMücahitDoğan,misc
#AdilBirDünyaya,ad_campaign_other
#AdliMahkum5ŞubatıBekliyor,appeal_af
#AdliMahkumDarbeMağduru,appeal_af
#AdliMahkumMüjdeBekliyor,appeal_af
#AdliMahkumaCezaİndirimi,appeal_af
#AdliMahkumŞubatıBekliyor,appeal_af
#AdnanBeklenenMehdi,cult_oktar
#AdnanBüyükAdaleteHesapVer,cult_antioktar
#AdnanGündemdenDEFOLL,cult_antioktar
#AdnanOktaraNeCezaVerilsin,cult_antioktar
#AdnanOktaraNeCezaVerilsın,cult_antioktar
#AdnanOktarcılardanBıktıkAmk,cult_antioktar
#AdnanOktarcılardanBıktıkLan,cult_antioktar
#AdnanOktarcılardanBıktık,cult_antioktar
#Adnana870yılGİRDİ,cult_antioktar
#AdnancılarMilletSizdenBıktı,cult_antioktar
#AdıEminKendiEmineSalman,ad_other
#AdıyamanlıİbrahimAslan,ad_other
#AfSözüTorbada,appeal_af
#AfetlerMehdiAlametidir,cult_oktar
#AgrubuKadroBekliyor,appeal_atama
#Ahlakder1Yaşında,ad_other
#Ahlaksızİlgezdi,politics_antichp
#AhmetAbi,misc
#AhmetBeyDiyeceksiniz,misc
#AhmetKaya,misc
#AhmetKayaÖlümsüzdür,misc
#Ahmet,misc
#AilemizHerŞeyimiz,appeal_other
#AileÇökmeden,appeal_other
#AkPartiKulakVerELESKIRTE,politics_akp
#AkaryakıtFiyatlarıDüşmeli,misc
#AkpDemekÖzgürlükDemek,politics_akp
#AkpartiÇayyoluBölgeAçılıyor,politics_akp
#AksuTVDijitalDevrim,misc
#AktaşınVizyonProjeleri,politics_akp
#AkİstişarelerBirliği,politics_akp
#AkıllıOlFenerbahçe,misc
#AkıllıOlTofaş,boykot
#AkşamaBafraYemendeyiz,ad_other
#AkşamaHamsiTava,misc
#AlamosGoldCanada,ad_other
#AlayımızKadrosuzKaldık,appeal_atama
#AleviDedesineKomünistZulmü,misc
#Alexİle10Soru,misc
#AleynaGemici,misc
#AleynaKırım,misc
#AlgülAilesiniParçalamayın,cult_hizbuttahrir
#AliCengizOyunuVAR,misc
#AliGölveAranıyor,appeal_other
#AliGölveAranııyor,appeal_other
#AliGölveBulunsun,appeal_other
#AliGölveKayıp,appeal_other
#AliGölveyiArıyoruz,appeal_other
#AliGölveyiBulalım,appeal_other
#AliYalçınSozlesmeliKızgın,appeal_atama_sözleşmeli
#AlinurBaskanGeliyor,politics_akp
#AlinurBaşkanGeliyor,politics_akp
#AlinurBaşkanHabertürkte,politics_akp
#AlinurBursasporRezaleti,politics_antiakp
#AlinurGidiyorHuzurGeliyor,politics_antiakp
#AllahBelanıVerecekAzKaldı,misc
#AllahBelanıVersinSinm,misc
#AllahBelanızıVersin,misc
#AllahEnGüzelYaratandır,misc
#AllahKorusun,misc
#AllahSeniKahretsinGizemOrta,misc
#AllahSeniKahretsinGizem,misc
#AllahSeniKahretsinTuğçe,misc
#AllahTürkeYarOlsun,misc
#AllahVar,misc
#AllahYeriNedenSarsıyor,misc
#AllahtanTekİstediğim,misc
#AllahınSimetriSanatı,adnan_oktar
#AlpErenÇatlıYalnızDeğildir,misc
#AlpErenÇatlıyaFetöKumpası,misc
#AlperTaşaHayır,politics_antichp
#AltıDosyaSıfırSuç,cult_tevhid
#AmaGaliba,misc
#AmaGalibaa,misc
#AmasyadaAskeriGüneşteBekletme,appeal_other
#AmeliyatTekAtamaBekliyor,appeal_atama
#AmerikanKültürRezaleti,boykot
#AmerikanınGöremediğiPKK,cult_oktar
#AnaYüreği,misc
#AnadoludaDerman,politics_chp
#AnalarDestanYazıyor,politics
#AnalarDireniyor,politics
#AnalarDiyarı,politics
#AnalarNöbette,politics
#AnanıSksnMehdi,cult_antioktar
#AnkaparkAçıldı,ad_other
#AnkaraBaşkanınınYanında,politics_akp
#AnkaraSevdalıları,politics_akp
#AnkaraVePursaklarKazanacak,politics_akp
#AnkaradaBecerikliİşler,misc
#AnkaradaUlaşımaZam,appeal_other
#AnkaragücüİçinYönetimİstifa,appeal_other
#Ankarakulisi06,politics
#AnkaralıBilir,politics_chp
#AnkaralıÖzhasekiDiyor,politics_akp
#AnkaramızaİmzaAtalım,politics_akp
#AnkarayaHaydarHaydar,politics_dsp
#AnkarayaHaydarYılmaz,politics_dsp
#AnkarayaKadinBelediyeBaskani,politics
#AnkarayıHisset,misc
#AnlatAnlatDinliyorum,misc
#AnlatSenSeversin,misc
#Anlayamazsın,misc
#AnnelerDireniyor,politics
#AnnelerDiyarbakırda,politics
#AnnelerGünüYaklaşıyor,misc
#AnnelerKazanacak,politics
#AnnelerNöbette,politics
#AnnelerTekYürek,politics
#Anneler,misc
#AnnelereYeniAskerlikSözü,appeal_askerlik
#AnnelerinSesiOl,misc
#AnnelerinYanındayız,misc
#AnnenileDüşünTaşın,misc
#AnneniziAslaÜzmeyin,misc
#Antalyaspor53Yaşında,misc
#ApolasLermi,ad_other
#AppleServisMağduriyeti,misc
#AramayınSormayın,misc
#ArelÜniversitesindeHaksızlık,boykot
#ArifandaYeniDönem,ad_other
#ArkaMahalle,misc
#ArkaSokaklarFinal,misc
#ArkadanGirdim,misc
#ArsenalChelseaBetVAKTi,bet
#ArslantepeUnescoYolunda,ad_other
#ArtıkMühendisMimarAta,appeal_atama
#Arzbet61tlFreebet,bet
#AskeriÖğrenciyeAdaletVer,appeal_other
#AskerlikOnayBayramÖncesi,appeal_askerlik
#AskerlikSistemiSeçimÖncesi,appeal_askerlik
#AskerlikSistemiSonuçlansın,appeal_askerlik
#AskerlikSistemiTorbaYasaya,appeal_askerlik
#AslaLimitlemezTıme4bets,bet
#AsporBoydanÇek,boykot
#AsporBoykot,boykot
#Asporizliyoruz,misc
#Asporİzlemiyoruz,boykot
#AstronotNeYapıyor,misc
#AsyaBahisAvrupaLigi,bet
#AsyaBahisEkstraBonus,bet
#AsyaBahisEtkinlik,bet
#AsyaBahisMuhtesemBonus,bet
#AsyaBahisSlotTurnuvası,bet
#AsyaBahisteMilliHeyecan,bet
#AsılAjanlngilizDD,cult_oktar
#AsılCasuslngilizDD,cult_oktar
#AsımŞekipKaya,misc
#AsıpŞekipKayaBayAşk,misc
#AtaDemirermiCemYılmazmı,misc
#AtaHomeTR,ad_other
#AtakumSahildeyiz,ad_other
#AtakumYatLimanındayız,ad_other
#AtakumaHoşgeldinReynmen,ad_other
#AtakumdaSatılık50BinTLDaire,ad_other
#AtamaEngelliÖğretmeninHakkı,appeal_atama
#AtamaSözünüzVar,appeal_atama
#AtamadaAdilSıralama,appeal_atama
#Atamİzindeyiz,politics
#AtanamayanİnşaatMüh,appeal_atama
#AtatürkOrtakDeğer,misc
#AtaşehirSanKuaforİndirim,ad_other
#AtliFaytonKaldirilsin,appeal_other
#AtliFaytonaDurDe,appeal_other
#AtomKarıncaTunceliValisi,politics
#AudiCupTeslaTvde,ad_tv
#AvZamanı,misc
#AvcilarHaberMerkeziCom,ad_other
#AvcılarUlusoyYapar,politics_akp
#AvniYildirim,misc
#AvrasyaKitapFestivali,ad_other
#AvrupaYakasıYenidenBaşlasın,misc
#AvrupaYakası,misc
#AyataÇetesi,misc
#AyhanMortepeYoutube,ad_other
#AyinesiİştirKişinin,misc
#AylardanMartTekGündemAF,appeal_af
#AynurAydın,ad_other
#AynıBelediyeOtobüsündeyiz,misc
#AynıSoruİkiAday,misc
#AysarYoutuberAnketi,ad_other
#AysimaToprakBalcı,misc
#Aysima,misc
#AysuBankoğluYalnızDeğildir,politics_chp
#AyşeBarımKimdir,misc
#AçKoynunuGiriceem,misc
#AğaçlarKitapAçtı,misc
#AğladıkçaGülen,misc
#AğlamakGerekBazen,misc
#AğlamakGerek,misc
#AğrıSavcıSayanDiyor,politics_akp
#Aşk1GüneSığmaz,misc
#AşkBenimNeyime,misc
#AşkBuKızılötesi,misc
#AşkDenince,misc
#AşkİleGeldik,misc
#AşkİçinRiskAl,misc
#AşkıMemnu,misc
#AşkınBendeOlmasa,misc
#AşıkOldumSana,misc
#AşıkOldum,misc
#AşıkOluyorum,misc
#BAKANLIKyoksaydı,appeal_other
#BAlbayrakEnglliÖgrtmneBütce,appeal_meb
#BETPAPELdeMinCekim100TL,bet
#BETPAPELdeÇekimKumbarası,bet
#BETPAPELdeÇiftBonus,bet
#BETPAPELhaftasonu,bet
#BETPAPELkayipBonusu,bet
#BETPAPELkazandırır,bet
#BETPAPELmobilOdeme,bet
#BETPAPELpapara5TL,bet
#BETPAPELyuzde30,bet
#BETPAPELyuzde35,bet
#BETPIPOyuzde50Cevrimsiz,bet
#BOYKOTMediaMarktİşçiDüşmanı,boykot_mediamarktmetroreal
#BOYKOTMetroMarketİşçiDüşmanı,boykot_mediamarktmetroreal
#BOYKOTVARMetroMediaMarkt,boykot_mediamarktmetroreal
#BYPomemYaş32Olsun,appeal_polis
#BYıldırımEnglliÖğrtmniUntma,appeal_meb
#BabaBiziUmreyeGötür,misc
#BabaSenYokkenYoutube,misc
#BabanızAliKoç,misc
#BabanızEmreBelözoğlu,misc
#BacanakChallange,misc
#BaharaYürüyoruz,misc
#BahigoTR,ad_other
#BahisDayCOMbankoKupon,bet
#BahisDayCom,bet
#BahisHeyecani25TLPapara,bet
#BahisHeyecaniHilbetRolling,bet
#BahisHeyecanıParaDağıtıyor,bet
#BahisVARnet325binTLJackpot,bet
#BahiscilerDefolunGidin,bet
#BahisdayCOManalizler,bet
#BahisdayComGununKuponu,bet
#BahisheyecaniForumAçılıyor,bet
#BahislokalTahminLigiBaşlad,bet
#BahisnowAvrupaLigi,bet
#BahisnowCanlıBahis,bet
#BahisnowDevDerbiBonusu,bet
#BahisnowDevFinal,bet
#BahisnowDevlerLigi,bet
#BahisnowEuro2020,bet
#BahisnowileKaybetmekYok,bet
#Bahtiyar,misc
#BakanKocaCevapVer,appeal_atama
#BakanKocaMakineMühAta,appeal_atama
#BakanSoyluPomemde32Yaş,appeal_polis
#BakıyorumGöremiyorum,misc
#BalıkBurcuKızıylaEvlenmek,misc
#BanaBakMuharrem,politics_antichp
#BanaEmanet,misc
#BanaGöre,misc
#BanaSanaBizeBişeyOlabilir,misc
#BankalarÖğlendeÇalışsın,appeal
#BankamatikçilerSıfırAdanaBir,misc
#BarışMehdiyleGelecek,cult_oktar
#BaskanlikOraniTrBette,bet
#BayKEMALneSaçmaladı,politics_antichp
#Bayigram,misc
#BayraklıAdayımızMehmethanoğlu,politics_chp
#BayraklıAydemiribekliyor,politics
#BayraklıdaKadınAdayİstiyoruz,politics
#BayramTatili9Gün,misc
#BayramTatiliBağlansın,misc
#BayramTatiliBirleştirilsin,misc
#BayramdanBeklediğim,misc
#BayramÖncesiFavorim,misc
#BayramÖncesiYeniAskerlik,appeal_askerlik
#BayŞanslı,misc
#BazıGazKaçıranKızlar,misc
#BaşakBurcuKadınıylaEvlenmek,misc
#BaşarıyaKelepçeVurulmaz,appeal_other
#BaşkaTürkiyeYok,politics
#BaşkanPalancıoğlu,politics_akp
#BaşkanaMektupVar,cult_oktar
#BaşkanlıkOranlarıTrBet,bet
#BaşkanİnşaatMühATAMABekliyor,appeal_atama
#BaşkaİstanbulYok,politics_akp
#Başlıyoruz,misc
#BaşörtülüyeSaldıranSerbest,appeal_other
#BaşımBelada,misc
#BaşımaNelerGeldi,misc
#BaşınSağolsunEnesBatur,misc
#BebeklerEvindeBüyümeli,appeal_other
#Bedava20LiraTipobet,bet
#BedavaForma,misc
#BedavaYemek,misc
#Bedavainternetçekilişi,misc
#BeddelliAskerlikteEşitlik,appeal_askerlik
#BedeliniÖdedik,appeal_askerlik
#BedelliAskerlikMağduriyeti,appeal_askerlik
#BedelliBaşvurusuBaşlasın,appeal_askerlik
#BedelliBekçiliğeBaşvursun,appeal_askerlik
#Bedellide21GunKaldirilsin,appeal_askerlik
#BedellideAfadEğitimi,appeal_askerlik
#BedellideKontenjanDüşük,appeal_askerlik
#BehzatÇ,misc
#BekaiçinBelediyeyeKadro,appeal_atama
#BekaİçinTaşeronBitsin,appeal_other
#BekleyinGeliyorum,misc
#BekleyinGeliyoruz,misc
#BelediyecilikBabaşınİşi,politics_akp
#BelediyedeKadroYalanOldu,appeal_atama
#BelediyeişçileriTükendi,appeal_atama
#BelediyeİsiGönülİsi,politics_akp
#BelediyeİşiGönülİşi,politics_akp
#BemBirSenBasınÖdülleri,ad_other
#BemBirSenYeniDönem,ad_other
#BenAllahınEseriyimÇünkü,cult_oktar
#BenBirOyum,politics_saadet
#BenDeAyasofyadayım,politics_saadet
#BenDemiştim,misc
#BenGönlümüSanaVerdim,misc
#BenTürkiyeyim,politics_akp
#BenYanındaYoksam,misc
#BenceBerbatGün,misc
#BenceHayatım,misc
#BenceŞanışer,misc
#BeniBanaYarEtmezler,misc
#BeniBulAnne,misc
#BenimBabam,misc
#BenimBursam,politics_akp
#BenimOyumAlinura,politics_akp
#BenimSevgim,misc
#BenimSırrım,misc
#BenimleEvlenirmisinAsumanT,misc
#BenimleEvlenirmisinAsuman,misc
#BenimleEvlenirmisinCansuTunç,misc
#BenimleEvlenirmisinCerenE,misc
#BenimleEvlenirmisinMerveD,misc
#BenÇektim,misc
#BenÇokSevdim,misc
#BenİyiBilirim,misc
#BeratHaykiranTattoo,misc
#BetOnBet50TLBonus,bet
#BetOnBet50TLNakitBonus,bet
#BetPapel,bet
#BetPipoKazandırır,bet
#BetPoundsileModernlik,bet
#BetSof50BonusCevrimsiz,bet
#BetSofPapara50Bonus,bet
#BetVaktiFenerOl,bet
#BetYap20TLKazan,bet
#BetYapKazan,bet
#BetasusHerkesinSitesidir,bet
#Betdolar20TL,bet
#Betdolar500TLcevrimsiz,bet
#BetdolarCevrimsiz150TL,bet
#BetdolarCevrimsizYuzde50,bet
#BetdolarFranklinBonusu,bet
#BetdolardaYuzde20Coskusu,bet
#BetexperKazandırır,bet
#BetgramdaHavale5TL,bet
#Betist20TL,bet
#Betmarino150TLPaparaBonus,bet
#BetmarinoYuzdeElliBonus,bet
#Betmoy10TLDenemeBonusu,bet
#BetmoyYüzde50BayramBonusu,bet
#BetorderDenemeBonusu,bet
#BetorderHosgeldinBonusu,bet
#BetorderKombineBonusu,bet
#BetorderYarışma,bet
#BetorderYatırımsızFreebet,bet
#Betpapel200Freespin,bet
#Betpapel500TLcevrimsiz,bet
#BetpapelEtkinlik,bet
#BetpapelYeniŞarkı,bet
#BetpapelYuzde30Cevrimsiz,bet
#Betpara10TLBonus,bet
#Betpipo5BinTLÖdül,bet
#BetpipoEtkinlik,bet
#BetpottanSuperligForması,bet
#Bets10sezonbonus,bet
#Bets10sezonbonusu,bet
#Bets4YouKazandırıyor,bet
#Bets4youDafreebonus,bet
#Bets4youdacekimhızı,bet
#Bets4youdaçekimhızı,bet
#Bets4youfreebonus,bet
#BetsatKazandırıyor,bet
#Betsattan25TLBedava,bet
#BetsattanHerkeseBedava,bet
#BetsdoordaSahanePazar,bet
#BetsdoordaYuzde20Cevrimsiz,bet
#Betsof50TLKrediKartiBonusu,bet
#Betticket185Dolandırıcıdır,bet
#BetticketDolandırıcıdır,bet
#BettickettaÇekim60DK,bet
#BetturkaBMWVeriyor,bet
#Betvakti25TLYarisma,bet
#Betvakti2BINTLbonus,bet
#BetvaktiBayramFreespini,bet
